what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1422778169453
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1422778169470
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1422778169485
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1422778169491
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1422778169504
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1422778169512
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1422778169769
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1422778169812
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1422778169851
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1422778169855
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1422778169855
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1422778169856
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1422778169865
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1422778169869
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1422778169882
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1422778169891
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422778169900
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1422778169912
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422778169971
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1422778169971
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1422778169972
os,sysinfo,,,"linux",1422778169976
arch,sysinfo,,,"x86_64",1422778169976
ws,sysinfo,,,"gtk",1422778169976
locale,sysinfo,,,"en_US",1422778169976
processors,sysinfo,,,"4",1422778169976
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422778169976
java.runtime.version,sysinfo,,,"1.6.0_39-b04",1422778169976
java.specification.name,sysinfo,,,"Java Platform API Specification",1422778169976
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422778169976
java.specification.version,sysinfo,,,"1.6",1422778169976
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1422778169976
java.version,sysinfo,,,"1.6.0_39",1422778169976
java.vm.info,sysinfo,,,"mixed mode",1422778169976
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422778169976
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422778169976
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422778169976
java.vm.specification.version,sysinfo,,,"1.0",1422778169976
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1422778169976
java.vm.version,sysinfo,,,"20.14-b01",1422778169976
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1422778170398
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778170685
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778183119
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1422778183149
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778185999
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778186023
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778186025
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778186049
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778186052
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778188639
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778188658
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778188660
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778188677
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778188681
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778189400
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778189419
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778189420
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778189437
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778189440
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778190517
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778190536
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778190537
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778190552
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778190555
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778192064
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778192082
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778192084
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778192106
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778192109
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778193039
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778193057
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778193059
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778193074
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778193078
error,log,,,"Unable to create editor ID scala.tools.eclipse.ScalaSourceFileEditor: No editor descriptor for id scala.tools.eclipse.ScalaSourceFileEditor",1422778193984
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778194003
opened,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778194005
activated,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778194018
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778194022
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1422778194744
closed,editor,,,"scala.tools.eclipse.ScalaSourceFileEditor",1422778194745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778205087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778208312
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1422778210178
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1422778210214
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1422778210327
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1422778210338
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1422778210479
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1422778210504
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1422778210536
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1422778210564
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1422778210577
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1422778210661
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1422778210668
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1422778210781
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1422778210829
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1422778211128
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1422778211299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778218259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778223554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778225339
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422778226811
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1422778227605
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1422778227616
